Brand_ID,Brand_Name,Classification,Price,quality,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,free_chlorides
R-1310,Ragged Queen,Red,17.99,6,9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,0.024878345
R-1311,El Árbol,Red,24.99,7,9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,0.022276676
R-1312,Loud Alarm Winery,Red,13.99,6,8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,0.029624275
R-1313,Turnkey Vineyards,Red,10.99,5,10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,0.046248121
R-1314,Butterscotch Wine,Red,12.99,5,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,0.04
R-1315,Chevesic Wine,Red,14.99,5,8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,0.043222496
R-1316,Broken Wrist Wines,Red,8.99,5,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,0.034293553
R-1317,Parede Wines,Red,19.99,6,8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,0.028533601
R-1318,Fair Judge,Red,14.99,6,7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,0.032464897
R-1319,Warm Year Winery,Red,10.99,5,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,0.03317839
R-1320,Better Butter Wine,Red,13.99,5,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,0.039840479
R-1321,Rapid Impulse Wine,Red,13.99,5,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,0.0419914
R-1322,Makeshift Thing Wine,Red,9.99,5,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,0.041143967
R-1323,Noxu Wine,Red,15.99,6,6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,0.027411078
R-1324,Waratel Vines,Red,18.99,6,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,0.027593514
R-1325,Forethought Vines,Red,23.99,7,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,0.022477517
R-1326,Complex Authority,Red,19.99,6,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,0.025115468
R-1327,Feigned Ignorance Vineyards,Red,18.99,6,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,0.032348222
R-1328,Upstate Wine,Red,16.99,6,6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,0.030457255
R-1329,Ambiguous Remark Wine,Red,18.99,7,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,0.022144274
R-1330,Vivacious,Red,14.99,6,8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,0.028437448
R-1331,Takeoff Vines,Red,19.99,6,8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,0.024111724
R-1332,Tedious Turtle Wine,Red,15.99,6,6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,0.0316612
R-1333,Today Wine,Red,11.99,5,9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,0.035200237
R-1334,Knowing Representative Wine,Red,14.99,6,7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,0.032116751
R-1335,Watermelon Winery,Red,10.99,5,7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,0.03329959
R-1336,Taskmaster,Red,34.99,8,7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,0.014240065
R-1337,Bronea Vintners,Red,17.99,6,12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,0.02480005
R-1338,Tabletop Wine,Red,17.99,6,6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,0.024111724
R-1339,Tasty Jam,Red,21.99,7,10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,0.021126284
R-1340,Raincheck,Red,27.99,8,7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,0.0148721
R-1341,Familiar Stock Vineyards,Red,14.99,6,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,0.03143705
R-1342,Bookcase Vintners,Red,8.99,5,7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,0.04507733
R-1343,El Dulce,Red,13.99,5,6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,0.037124899
R-1344,Overwrought Expert,Red,17.99,6,6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,0.026699133
R-1345,Acoustic Nation Vines,Red,14.99,5,8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,0.048516369
R-1346,Ambitious Plot Vintners,Red,21.99,7,8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,0.019893332
R-1347,Adjoining Ocean Wines,Red,19.99,6,7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,0.031774175
R-1348,Wavelength Winery,Red,10.99,5,7,0.59,0,1.7,0.052,3,8,0.996,3.41,0.47,10.3,0.04032193
R-1349,Whispering Wind Vines,Red,21.99,7,7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,0.01831096
R-1350,Werradith,Red,18.99,7,10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,0.020762568
R-1351,Seiliu Vineyards,Red,8.99,5,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,0.037124899
R-1352,Westwest Wines,Red,17.99,6,6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,0.025847541
R-1353,Vague Notion Vineyards,Red,12.99,5,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,0.034937549
R-1354,Fishtail Vineyards,Red,19.99,7,7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,0.022477517
R-1355,Probable Outcome Vineyards,Red,14.99,5,6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,0.048730806
R-1356,Ekcle,Red,8.99,5,6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,0.036006323
R-1357,Bluebird Vines,Red,14.99,5,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,0.043222496
R-1358,Spacewalk Winery,Red,25.99,7,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,0.023166971
R-1359,Chacaka Winery,Red,13.99,5,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,0.047672623
R-1360,Tupacase,Red,19.99,7,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,0.023308665
R-1361,Creahoof,Red,7.99,4,7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,0.058912244
R-1362,Curiously Earthy,Red,11.99,5,7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,0.043402778
R-1363,Bootstrap Wines,Red,13.99,5,10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,0.046248121
R-1364,Vacso,Red,16.99,6,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,0.030351224
R-1365,Somewhat Elated Vintners,Red,13.99,5,10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,0.042865287
R-1366,Abounding Trade Vineyards,Red,19.99,6,7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,0.030457255
R-1367,Dizoolexa,Red,8.99,5,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,0.04032193
R-1368,Jovially Overt,Red,14.99,6,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,0.023962657
R-1369,Truculent Moon,Red,19.99,6,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,0.030563842
R-1370,Upstage Vineyards,Red,12.99,5,7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5,0.04507733
W-1111,Standing Zebra Winery,White,20.99,7,5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,0.023451663
W-1112,Possible Investment Winery,White,8.99,5,6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,0.04
W-1113,Disagreeable Vicar Winery,White,19.99,7,7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,0.020119712
W-1114,Nalpure Wine,White,18.99,6,6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,0.023888641
W-1115,Unoseth Wines,White,14.99,5,5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,0.038597967
W-1116,Peachflame Winery,White,18.99,6,6.3,0.36,0.5,8.3,0.053,51,202,0.9955,3.2,0.51,9.6,0.02618322
W-1117,Strong Snail Vintners,White,18.99,6,6.8,0.26,0.26,2,0.019,23.5,72,0.99041,3.16,0.47,11.8,0.028923134
W-1118,Modern Noggin,White,8.99,4,7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,0.055624778
W-1119,Hospitable Rock,White,20.99,7,6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,0.022343323
W-1120,Sidekick,White,19.99,6,8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,0.027685416
W-1121,Spiteful Sprite,White,25.99,7,7.2,0.17,0.37,6.9,0.059,47,128,0.99322,3.08,0.46,11,0.021311737
W-1122,Underground,White,16.99,6,7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,0.025518276
W-1123,Typical Vintners,White,20.99,7,6.8,0.17,0.35,1.8,0.04,29,84,0.98961,2.91,0.57,12,0.018410476
W-1124,Panoramic View Wines,White,17.99,6,5.7,0.21,0.32,0.9,0.038,38,121,0.99074,3.24,0.46,10.6,0.029522561
W-1125,Yammoe,White,18.99,7,6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.13333333,0.019949567
W-1126,Viottis,White,13.99,5,6.7,0.26,0.49,8.1,0.052,48,197,0.99558,3.19,0.48,9.5,0.038903089
W-1127,Headlight,White,14.99,6,7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,0.02618322
W-1128,Dohi Vineyards,White,11.99,5,7.6,0.36,0.48,13.5,0.038,44,116,0.9982,3.04,0.48,9.2,0.041143967
W-1129,Blackboard,White,18.99,6,5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,0.02942137
W-1130,Foxclore,White,20.99,7,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,0.019837334
W-1131,Incandescent Chess Wines,White,14.99,5,7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,0.036982249
W-1132,Unusual Cabbage Wines,White,14.99,5,7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,0.035465898
W-1133,Fine Grain,White,14.99,6,7.5,0.38,0.5,12.8,0.042,57,184,0.9984,3.09,0.46,9,0.02576463
W-1134,Detailed Decision Wine,White,14.99,5,6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,0.034548997
W-1135,Plucky Parrot Wine,White,19.99,6,6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,0.030351224
W-1136,Barbarous Bandits Wines,White,26.99,7,8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4,0.019451885
W-1137,Surogou,White,24.99,7,6.2,0.16,0.34,1.7,0.038,85,153,0.9909,3.33,0.86,12,0.023523655
W-1138,Juvenile,White,14.99,5,6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,0.034937549
W-1139,Selective Sect Vintners,White,10.99,5,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,0.035068524
W-1140,Aboveboard,White,15.99,6,7.2,0.31,0.41,8.6,0.053,15,89,0.9976,3.29,0.64,9.9,0.031887755
W-1141,Enormous Book,White,17.99,6,7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,0.031774175
W-1142,Puzzling Mist,White,14.99,6,7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,0.028923134
W-1143,Mainland,White,12.99,5,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,0.035734578
W-1144,Magenta Guitar,White,11.99,5,7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,0.045269353
W-1145,Plakill,White,16.99,6,5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,0.024262187
W-1146,Grateful Ned,White,16.99,6,5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,0.026874496
W-1147,Irate Grandmother Winery,White,13.99,5,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,0.038446751
W-1148,Erratic Fish Vines,White,14.99,6,5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,0.030036434
W-1149,Looncan Wines,White,17.99,6,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,0.026612094
W-1150,Abundant Angle,White,12.99,5,6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,0.046049844
W-1151,Devilish Crook,White,14.99,6,7.5,0.26,0.38,5.7,0.021,23,125,0.99338,3.13,0.62,11.1,0.028437448
W-1152,Safome,White,26.99,7,6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,0.022144274
W-1153,Animated Anthill Wine,White,12.99,5,7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9,0.034293553
W-1154,Oval Gem,White,37.99,8,5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,0.014515895
W-1155,Oleald,White,23.99,7,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,0.023237656
W-1156,Kizerain Vines,White,17.99,6,7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,0.023741634
W-1157,Gearshift Vintners,White,22.99,7,6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,0.017872973
W-1158,Clean Linen Vineyards,White,13.99,5,6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,0.03968191
W-1159,Backdrop Vines,White,13.99,5,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,0.038146973
W-1160,Sooprno,White,12.99,5,6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,0.042865287
W-1161,Sundial Wine,White,13.99,6,8,0.22,0.32,10.4,0.043,63,201,0.997,3.11,0.53,9.5,0.027963893
W-1162,Well-To-Do Vineyards,White,8.99,5,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,0.037998396
W-1163,Strange Bag Wine,White,14.99,5,7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,0.035200237
W-1164,Youthful Wine,White,12.99,5,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,0.036419789
W-1165,Courtyard Vintners,White,17.99,6,6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,0.027685416
W-1166,Abstracted Sand Vineyards,White,20.99,7,6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,0.022818339
W-1167,Adorable Class,White,25.99,7,6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,0.020408163
W-1168,Able Brake,White,17.99,6,6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,0.025930853
W-1169,Buttercup,White,16.99,6,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,0.026612094
W-1170,Voquev Vines,White,19.99,6,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,0.024037017
W-1171,Macho,White,16.99,6,5.7,0.21,0.37,4.5,0.04,58,140,0.99332,3.29,0.62,10.6,0.031215273
W-1172,Mizule Winery,White,17.99,6,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,0.024337947
W-1173,Ociramma Vines,White,11.99,5,6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,0.033421455
W-1174,Impartial Rate Winery,White,14.99,6,5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,0.029829287
W-1175,Murky Interpretation Vineyards,White,28.99,8,5.5,0.15,0.32,14,0.031,16,99,0.99437,3.26,0.38,11.5,0.01420614
W-1176,Uptight,White,19.99,6,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,0.028057653
W-1177,Ill-Fated,White,17.99,6,7.1,0.29,0.49,1.2,0.031,32,99,0.9893,3.07,0.33,12.2,0.029522561
W-1178,Pepelexa Vintners,White,12.99,5,8.2,0.21,0.48,1.4,0.041,11,99,0.9958,3.17,0.57,9.9,0.03442092
W-1179,Aferraron,White,25.99,7,7.8,0.21,0.49,1.2,0.036,20,99,0.99,3.05,0.28,12.1,0.019130372
W-1180,Animepolis Vineyards,White,18.99,6,7.1,0.39,0.79,1.4,0.194,23,90,0.99212,3.17,0.46,10.5,0.030670989
W-1181,Harsh Cause Wines,White,11.99,5,6.5,0.26,0.43,8.9,0.083,50,171,0.9965,2.85,0.5,9,0.036419789
W-1182,Historical Test,White,20.99,7,5.9,0.12,0.28,1.4,0.037,36,83,0.99074,3.33,0.42,10.9,0.022276676
W-1183,Thunderstorm Vintners,White,10.99,5,8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,0.033421455
W-1184,Feandra,White,13.99,6,6.6,0.22,0.36,5.5,0.029,30,105,0.99206,3.2,0.47,11.8,0.024878345
W-1185,Heavenly Honey Wine,White,19.99,6,7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,0.028246593
W-1186,Upstanding,White,13.99,6,7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,0.03143705
W-1187,Alike Structure Wines,White,19.99,6,8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,0.024567369
W-1188,Toximble Winery,White,9.99,5,8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10,0.04233772
W-1189,Terrific Increase,White,13.99,6,7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,0.032700149
W-1190,Qerrassa,White,17.99,6,8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,0.024037017
W-1191,Likeable Measure Wine,White,18.99,6,7.2,0.28,0.26,12.5,0.046,48,179,0.9975,3.1,0.52,9,0.030140818
W-1192,Almost Rampant,White,19.99,6,6.6,0.33,0.41,2,0.027,14,79,0.99063,3.27,0.63,12.4,0.031548827
W-1193,Blueprint Wines,White,14.99,6,7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,0.0256
W-1194,Sislaf,White,20.99,7,7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,0.020643414
W-1195,Fuzzy Waves,White,25.99,7,5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,0.022276676
W-1196,Tangy Silk,White,12.99,5,6.3,0.39,0.22,2.8,0.048,53,173,0.99304,3.24,0.45,9.8,0.042164026
W-1197,Claster,White,10.99,5,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,0.043950441
W-1198,Uppercase Vines,White,18.99,7,7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,0.018163193
W-1199,Regular Sort Wines,White,16.99,6,6.2,0.355,0.35,2,0.046,31,95,0.98822,3.06,0.46,13.6,0.024490536
W-1200,Forgetful Elephant,White,12.99,5,8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,0.047465125
W-1201,Aloidia,White,19.99,6,7.1,0.29,0.28,9.3,0.048,50,141,0.9949,3.13,0.49,10.3,0.032818736
W-1202,Chilly Weather Vines,White,15.99,6,5.8,0.15,0.32,1.2,0.037,14,119,0.99137,3.19,0.5,10.2,0.024490536
W-1203,Jazzy Jive,White,14.99,6,7.6,0.445,0.44,14.5,0.045,68,212,0.9986,3.48,0.36,10,0.03143705
W-1204,Weepeggle,White,13.99,6,7,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,0.028341779
W-1205,Silly Question Vines,White,18.99,6,6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,0.025195263
W-1206,Oafish Ogre Vineyards,White,22.99,7,7.4,0.16,0.33,1.2,0.042,47,121,0.99198,3.04,0.68,10.5,0.021626298
W-1207,Dashing Taste Vineyards,White,14.99,6,6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,0.024414063
W-1208,Aberidus,White,15.99,6,6,0.27,0.4,1.7,0.021,18,82,0.9891,3.24,0.95,13.13333333,0.028825006
W-1209,Voov,White,19.99,7,5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1,0.023237656
W-1210,Joyfully Lamentable Wine,White,26.99,7,7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,0.023096608
W-1211,Talented Tortoise,White,22.99,7,6.3,0.27,0.38,0.9,0.051,7,140,0.9926,3.45,0.5,10.5,0.018972596
W-1212,Bioyino,White,14.99,6,6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11,0.032232175
W-1213,Freezing Pan,White,14.99,5,7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,0.039367599
W-1214,Geosyog,White,16.99,6,6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,0.024414063
W-1215,Colossal Interest Vintners,White,18.99,6,5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,0.030995834
W-1216,Spiritual Bird,White,23.99,7,6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,0.019670751
W-1217,Yimello,White,12.99,5,6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,0.048091721
W-1218,Mixed Balance,White,17.99,6,4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,0.0316612
W-1219,Cardsharp Vineyards,White,10.99,5,9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,0.038146973
W-1220,Thankful Prankster Wine,White,17.99,6,6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,0.024722123
W-1221,Friendly Neighbor,White,22.99,7,7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,0.020234354
W-1222,Gainful Goat,White,18.99,6,5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,0.025518276
W-1223,Watchtower Wine,White,14.99,5,7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,0.039057008
W-1224,Toogit Vines,White,23.99,7,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,0.020349979
W-1225,Narrow Ridge,White,14.99,6,6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,0.029120898
W-1226,Miniature Barrel,White,11.99,5,7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,0.048303345
W-1227,Cheilith,White,18.99,6,6.6,0.425,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4,0.026874496
W-1228,Far-Flung Bridge Vines,White,24.99,7,7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,0.019130372
W-1229,Didactic Chance,White,19.99,6,6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,0.028341779
W-1230,Wandering Judge,White,17.99,6,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,0.026962826
W-1231,Dairymaid,White,6.99,4,7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,0.073842155
W-1232,Altogether Glamorous,White,13.99,6,6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,0.025436943
W-1233,Offbeat Receipt Vintners,White,26.99,7,6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,0.018017206
W-1234,Besloor,White,17.99,6,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,0.024414063
W-1235,Successful Event,White,16.99,6,6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,0.023741634
W-1236,Astauand Vines,White,22.99,7,7.1,0.18,0.49,1.3,0.033,12,72,0.99072,3.05,0.53,11.3,0.023026566
W-1237,Nanoarrow,White,17.99,6,7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,0.029829287
W-1238,Empty Cask,White,22.99,7,8,0.42,0.36,5,0.037,34,101,0.992,3.13,0.57,12.3,0.022681086
W-1239,Moderock Vintners,White,17.99,6,6.4,0.37,0.19,3.5,0.068,18,101,0.9934,3.03,0.38,9,0.027870602
W-1240,Eraow Vines,White,17.99,6,6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,0.026353517
W-1241,Fragile Grape Winery,White,27.99,8,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,0.014763874
W-1242,Powerful Experience Winery,White,17.99,6,7.1,0.15,0.34,1,0.033,27,73,0.98974,3.24,0.41,12.2,0.028151885
W-1243,Thunderbird Winery,White,18.99,6,5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,0.027593514
W-1244,Hilarious Barrister,White,15.99,6,7.6,0.24,0.44,3.8,0.037,49,146,0.9911,3.06,0.37,11.6,0.02609869
W-1245,Sohanidd Winery,White,20.99,7,6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9,0.021562831
W-1246,Skaxis Wines,White,9.99,5,6.2,0.2,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11,0.03317839
W-1247,Nervous Mint Vineyards,White,8.99,4,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,0.069618006
W-1248,Roplixoo Wine,White,16.99,6,6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,0.030457255
W-1249,Chillpal Wine,White,8.99,5,6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,0.033421455
W-1250,Axiomatic Winery,White,17.99,6,8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,0.026268161
W-1251,Zapster,White,13.99,5,6.4,0.32,0.5,10.7,0.047,57,206,0.9968,3.08,0.6,9.4,0.034937549
W-1252,Scarecrow Vineyards,White,14.99,6,6.8,0.27,0.35,7.8,0.048,76,197,0.9959,3.24,0.43,9.5,0.025036052
